0.000	0.2	0	-4176.81658254102
0.001	0.19791522372053	-4.16229359183563	-4133.27794186613
0.002	0.191704357803475	-8.23781267418677	-4003.56970309466
0.003	0.181496884908223	-12.1415917919593	-3790.39599282103
0.004	0.167505608008428	-15.792245884103	-3498.20100599109
0.005	0.150022213926092	-19.1136669800594	-3133.07635438008
0.006	0.129411192313889	-22.0366108806787	-2702.63407011528
0.007	0.106102236861347	-24.5001407448585	-2215.84791183584
0.008	0.0805812871427326	-26.4528974863528	-1682.86628190132
0.009	0.0533803978640751	-27.8541704958191	-1114.80065490653
0.010	0.0250666467128608	-28.6747463659456	-523.493928294871
0.011	-0.0037696879430817	-28.8975179256366	78.7264755583429
0.012	-0.0325274330389768	-28.5178408862585	679.305608523454
0.013	-0.0606070539265549	-27.5436306646667	1265.72273929696
0.014	-0.0874231533301867	-25.9951973644731	1825.75238263775
0.015	-0.112416675570426	-23.9048223558237	2347.71917338345
0.016	-0.135066561624205	-21.3160852810506	2820.74127169389
0.017	-0.154900612039747	-18.2829555166267	3234.95722506684
0.018	-0.171505331238731	-14.8686670324061	3581.7315575606
0.019	-0.184534547974023	-11.1444001048205	3853.83480014805
0.020	-0.193716632225726	-7.18779736736044	4045.59420897206
0.021	-0.1988601580794	-3.08134513536929	4153.01202936383
0.022	-0.199857894528118	1.08934624909262	4173.84884008388
0.023	-0.196689040999066	5.23732720135217	4107.67024024494
0.024	-0.189419660998949	9.2761215984397	3955.85590559853
0.025	-0.178201304837673	13.1215296127882	3721.5708253822
0.026	-0.163267850143437	16.6933830902657	3409.69931937464
0.027	-0.144930626037409	19.9172168768363	3026.7432107555
0.028	-0.123571922618067	22.725821250428	2580.68627763808
0.029	-0.0996370210678978	25.0606430932761	2080.82780915692
0.030	-0.0736249105369351	26.873006593433	1537.58873609385
0.031	-0.0460778853353176	28.1251280265497	962.29437778489
0.032	-0.0175702393101481	28.7909034619983	366.938334549203
0.033	0.0113037068964054	28.8564529714262	-236.067552045447
0.034	0.0399419961028821	28.3204099942093	-834.151958311532
0.035	0.0677475840490589	27.1939498271847	-1414.846162416
0.036	0.0941407864330671	25.5005566447119	-1966.04398933543
0.037	0.118571364032212	23.2755339061775	-2476.25419752126
0.038	0.14052999395977	20.565268357847	-2934.84004557779
0.039	0.159558887907715	17.4262629729829	-3332.24104452373
0.040	0.175261336008773	13.92395899126	-3660.17227259868
0.041	0.187309977349639	10.1313716153243	-3911.79709734677
0.042	0.195453624713639	6.12756780716724	-4081.86970410838
0.043	0.199522501272245	1.996017918858	-4166.84445951987
0.044	0.199431780052123	-2.17714447755757	-4164.94983003689
0.045	0.195183352387749	-6.30491828233522	-4076.22531444549
0.046	0.186865788491322	-10.3012486463228	-3902.52062040078
0.047	0.174652490961984	-14.0828210220427	-3647.45710216054
0.048	0.158798079729567	-17.5707980856148	-3316.35226345062
0.049	0.139633083798694	-20.6924633185844	-2916.10889940862
0.050	0.117557050458494	-23.3827369846503	-2455.07118874824
0.051	0.0930302156154908	-25.5855328965693	-1942.85073630074
0.052	0.0665639089045964	-27.2549276876847	-1390.12619255734
0.053	0.0387098936101711	-28.3561182113806	-808.420627696806
0.054	0.0100488636359528	-28.8661471088273	-209.861301351706
0.055	-0.0188216626637039	-28.7743814185522	393.073163623759
0.056	-0.0472997994047461	-28.082734249899	987.812932523037
0.057	-0.0747918411475612	-26.8056248989773	1561.95901171954
0.058	-0.100724640327153	-24.9696782385982	2103.54173994466
0.059	-0.124557556097623	-22.6131696492408	2601.27032894668
0.060	-0.145793725484283	-19.7852270629997	3044.76825116593
0.061	-0.163990421865091	-16.54480675611	3424.78956712005
0.062	-0.178768284830253	-12.9594642424848	3733.41168255709
0.063	-0.189819228998059	-9.10394589238594	3964.20051682122
0.064	-0.196912866905841	-5.05863063782682	4112.34463904005
0.065	-0.199901312073146	-0.907854251664298	4174.75557569412
0.066	-0.198722262104002	3.26184886458908	4150.13219838028
0.067	-0.193400297552487	7.36354972944135	4038.98784942797
